,week_id,perc_store_open
0,201507,1.0
1,201508,1.0
2,201509,1.0
3,201510,1.0
4,201511,1.0
5,201512,1.0
6,201513,1.0
7,201514,1.0
8,201515,1.0
9,201516,1.0
10,201517,1.0
11,201518,1.0
12,201519,1.0
13,201520,1.0
14,201521,1.0
15,201522,1.0
16,201523,1.0
17,201524,1.0
18,201525,1.0
19,201526,1.0
20,201527,1.0
21,201528,1.0
22,201529,1.0
23,201530,1.0
24,201531,1.0
25,201532,1.0
26,201533,1.0
27,201534,1.0
28,201535,1.0
29,201536,1.0
30,201537,1.0
31,201538,1.0
32,201539,1.0
33,201540,1.0
34,201541,1.0
35,201542,1.0
36,201543,1.0
37,201544,1.0
38,201545,1.0
39,201546,1.0
40,201547,1.0
41,201548,1.0
42,201549,1.0
43,201550,1.0
44,201551,1.0
45,201552,1.0
46,201553,1.0
47,201601,1.0
48,201602,1.0
49,201603,1.0
50,201604,1.0
51,201605,1.0
52,201606,1.0
53,201607,1.0
54,201608,1.0
55,201609,1.0
56,201610,1.0
57,201611,1.0
58,201612,1.0
59,201613,1.0
60,201614,1.0
61,201615,1.0
62,201616,1.0
63,201617,1.0
64,201618,1.0
65,201619,1.0
66,201620,1.0
67,201621,1.0
68,201622,1.0
69,201623,1.0
70,201624,1.0
71,201625,1.0
72,201626,1.0
73,201627,1.0
74,201628,1.0
75,201629,1.0
76,201630,1.0
77,201631,1.0
78,201632,1.0
79,201633,1.0
80,201634,1.0
81,201635,1.0
82,201636,1.0
83,201637,1.0
84,201638,1.0
85,201639,1.0
86,201640,1.0
87,201641,1.0
88,201642,1.0
89,201643,1.0
90,201644,1.0
91,201645,1.0
92,201646,1.0
93,201647,1.0
94,201648,1.0
95,201649,1.0
96,201650,1.0
97,201651,1.0
98,201652,1.0
99,201701,1.0
100,201702,1.0
101,201703,1.0
102,201704,1.0
103,201705,1.0
104,201706,1.0
105,201707,1.0
106,201708,1.0
107,201709,1.0
108,201710,1.0
109,201711,1.0
